source,interaction,target,weight
R-HSA-8877627,abstraction:IsAChildOf,R-HSA-6806667,
R-HSA-6806664,abstraction:IsAChildOf,R-HSA-6806667,
R-HSA-975634,abstraction:IsAChildOf,R-HSA-6806667,
R-HSA-1296041,abstraction:IsAChildOf,R-HSA-1296059,
R-HSA-190241,abstraction:IsAChildOf,R-HSA-5654738,
R-HSA-5654696,abstraction:IsAChildOf,R-HSA-5654738,
R-HSA-6803529,abstraction:IsAChildOf,R-HSA-5654738,
R-HSA-5654727,abstraction:IsAChildOf,R-HSA-5654738,
R-HSA-9705683,abstraction:IsAChildOf,R-HSA-9694516,
R-HSA-9772573,abstraction:IsAChildOf,R-HSA-9694516,
R-HSA-9772572,abstraction:IsAChildOf,R-HSA-9694516,
R-HSA-9672393,abstraction:IsAChildOf,R-HSA-9662001,
R-HSA-9672391,abstraction:IsAChildOf,R-HSA-9662001,
R-HSA-9672396,abstraction:IsAChildOf,R-HSA-9662001,
R-HSA-9672387,abstraction:IsAChildOf,R-HSA-9662001,
R-HSA-9672395,abstraction:IsAChildOf,R-HSA-9662001,
R-HSA-9672397,abstraction:IsAChildOf,R-HSA-9662001,
R-HSA-9674519,abstraction:IsAChildOf,R-HSA-9662001,
R-HSA-8964208,abstraction:IsAChildOf,R-HSA-8963691,
R-HSA-8963684,abstraction:IsAChildOf,R-HSA-8963691,
R-HSA-162599,abstraction:IsAChildOf,R-HSA-162587,
R-HSA-162594,abstraction:IsAChildOf,R-HSA-162587,
R-HSA-1839122,abstraction:IsAChildOf,R-HSA-1839124,
R-HSA-1839117,abstraction:IsAChildOf,R-HSA-1839124,
R-HSA-1839120,abstraction:IsAChildOf,R-HSA-1839124,
R-HSA-8853336,abstraction:IsAChildOf,R-HSA-1839124,
R-HSA-9840309,abstraction:IsAChildOf,R-HSA-1660662,
R-HSA-9840310,abstraction:IsAChildOf,R-HSA-1660662,
R-HSA-9700649,abstraction:IsAChildOf,R-HSA-9700206,
R-HSA-9725370,abstraction:IsAChildOf,R-HSA-9700206,
R-HSA-9700645,abstraction:IsAChildOf,R-HSA-9700206,
R-HSA-5654219,abstraction:IsAChildOf,R-HSA-5654687,
R-HSA-5654688,abstraction:IsAChildOf,R-HSA-5654687,
R-HSA-5654693,abstraction:IsAChildOf,R-HSA-5654687,
R-HSA-5654689,abstraction:IsAChildOf,R-HSA-5654687,
R-HSA-9662361,abstraction:IsAChildOf,R-HSA-9659379,
R-HSA-9662360,abstraction:IsAChildOf,R-HSA-9659379,
